,iteration,speed
91,91,"[0.15999999 0.16       0.15999995 0.15999991 0.16       0.15999978
 0.16       0.16       0.15999846 0.1599997 ]"
92,92,"[0.15999999 0.16       0.15999996 0.15999989 0.16       0.15999975
 0.16       0.16       0.1599985  0.15999971]"
93,93,"[0.15999999 0.16       0.15999997 0.15999986 0.16       0.15999972
 0.16       0.16       0.15999853 0.15999972]"
94,94,"[0.15999999 0.16       0.15999997 0.15999982 0.16       0.1599997
 0.16       0.16       0.15999856 0.15999973]"
95,95,"[0.15999999 0.16       0.15999998 0.15999978 0.16       0.15999967
 0.16       0.16       0.15999859 0.15999974]"
96,96,"[0.15999999 0.16       0.15999998 0.15999974 0.16       0.15999965
 0.16       0.16       0.15999862 0.15999974]"
97,97,"[0.15999999 0.16000001 0.15999999 0.15999969 0.16       0.15999963
 0.16       0.1600001  0.15999864 0.15999975]"
98,98,"[0.15999999 0.16       0.15999999 0.15999964 0.16       0.15999961
 0.16       0.15999998 0.15999867 0.15999976]"
99,99,"[0.15999999 0.16       0.15999999 0.15999958 0.16       0.15999959
 0.16       0.15999999 0.15999869 0.15999977]"
100,100,"[0.15999999 0.16       0.15999999 0.15999951 0.16       0.15999957
 0.16       0.15999998 0.15999872 0.15999971]"
101,101,"[0.15999999 0.16       0.16       0.15999944 0.16       0.15999955
 0.16       0.15999995 0.15999874 0.15999954]"
102,102,"[0.15999999 0.16       0.16       0.15999937 0.16       0.15999954
 0.16       0.15999995 0.15999877 0.15999955]"
103,103,"[0.15999999 0.16       0.16       0.1599993  0.16       0.15999953
 0.16       0.15999995 0.15999879 0.15999957]"
104,104,"[0.15999999 0.16       0.16       0.15999923 0.16       0.15999952
 0.16       0.15999996 0.15999881 0.15999958]"
105,105,"[0.15999999 0.16       0.16       0.15999916 0.16       0.15999951
 0.16       0.15999996 0.15999883 0.15999959]"
106,106,"[0.15999999 0.16       0.16       0.15999909 0.16       0.1599995
 0.16       0.15999996 0.15999885 0.1599996 ]"
107,107,"[0.15999999 0.16       0.16       0.15999902 0.16       0.15999949
 0.16       0.15999997 0.15999887 0.15999961]"
108,108,"[0.15999999 0.16       0.16       0.15999896 0.16       0.15999949
 0.16       0.15999997 0.15999888 0.15999962]"
109,109,"[0.15999999 0.16       0.16       0.1599989  0.16       0.15999948
 0.16       0.15999997 0.1599989  0.15999963]"
110,110,"[0.15999999 0.15999999 0.16       0.15999885 0.16       0.15999948
 0.16       0.15999998 0.15999892 0.15999964]"
111,111,"[0.15999999 0.15999999 0.16       0.1599988  0.16       0.15999948
 0.16       0.15999998 0.15999894 0.15999965]"
112,112,"[0.15999999 0.15999999 0.16       0.15999876 0.16       0.15999947
 0.16       0.15999998 0.15999895 0.15999966]"
113,113,"[0.15999999 0.15999999 0.16       0.15999873 0.16000002 0.15999947
 0.16       0.15999998 0.15999897 0.15999967]"
114,114,"[0.15999999 0.15999998 0.16       0.1599987  0.15999998 0.15999948
 0.16       0.15999999 0.15999898 0.15999968]"
115,115,"[0.15999999 0.15999998 0.16       0.15999868 0.15999998 0.15999948
 0.16       0.15999999 0.159999   0.15999969]"
116,116,"[0.15999999 0.15999998 0.16       0.15999867 0.15999998 0.15999948
 0.16       0.15999999 0.15999902 0.15999969]"
117,117,"[0.15999999 0.15999997 0.16       0.15999866 0.15999999 0.15999948
 0.16       0.15999999 0.15999903 0.1599997 ]"
118,118,"[0.15999999 0.15999996 0.16       0.15999829 0.15999998 0.15999949
 0.16       0.15999999 0.15999905 0.15999962]"
119,119,"[0.15999999 0.15999993 0.15999999 0.15999742 0.1599999  0.15999949
 0.16       0.15999999 0.15999906 0.15999941]"
120,120,"[0.15999999 0.15999992 0.15999999 0.15999744 0.1599999  0.1599995
 0.16       0.15999999 0.15999908 0.15999943]"
121,121,"[0.15999999 0.15999992 0.15999999 0.15999747 0.1599999  0.1599995
 0.16       0.16       0.15999909 0.15999944]"
122,122,"[0.15999999 0.15999992 0.15999999 0.15999751 0.1599999  0.15999951
 0.16       0.16       0.15999911 0.15999945]"
123,123,"[0.15999999 0.15999992 0.15999999 0.15999754 0.15999991 0.15999952
 0.16       0.16       0.15999912 0.15999947]"
124,124,"[0.15999999 0.15999991 0.15999999 0.15999759 0.15999991 0.15999952
 0.16       0.16       0.15999914 0.15999948]"
125,125,"[0.15999999 0.15999991 0.15999999 0.15999751 0.15999991 0.15999953
 0.16       0.16       0.15999916 0.15999933]"
126,126,"[0.15999999 0.15999991 0.15999999 0.15999735 0.15999991 0.15999954
 0.16       0.16       0.15999918 0.15999894]"
127,127,"[0.15999999 0.1599999  0.15999999 0.15999736 0.15999992 0.15999955
 0.16       0.16       0.15999919 0.15999896]"
128,128,"[0.15999999 0.1599999  0.15999999 0.15999738 0.15999992 0.15999956
 0.16       0.16       0.15999921 0.15999898]"
129,129,"[0.15999999 0.1599999  0.15999999 0.15999741 0.15999992 0.15999955
 0.16       0.16       0.15999923 0.159999  ]"
130,130,"[0.15999999 0.15999989 0.15999999 0.15999744 0.15999992 0.15999953
 0.15999999 0.16       0.15999925 0.15999902]"
131,131,"[0.15999999 0.15999989 0.15999999 0.15999747 0.15999993 0.15999954
 0.15999999 0.16       0.15999927 0.15999904]"
132,132,"[0.15999999 0.15999988 0.16000005 0.15999751 0.15999993 0.15999955
 0.15999999 0.16       0.15999929 0.15999906]"
133,133,"[0.15999999 0.15999988 0.15999997 0.15999756 0.15999993 0.15999956
 0.15999998 0.16       0.15999931 0.15999908]"
134,134,"[0.15999999 0.15999988 0.15999997 0.15999761 0.15999993 0.15999957
 0.15999998 0.16000002 0.15999904 0.1599991 ]"
135,135,"[0.16       0.15999987 0.15999997 0.15999766 0.15999993 0.15999958
 0.15999998 0.15999998 0.15999766 0.15999912]"
136,136,"[0.15999989 0.15999987 0.15999998 0.15999772 0.15999994 0.15999959
 0.15999995 0.15999998 0.15999769 0.15999913]"
137,137,"[0.1599999  0.15999986 0.15999998 0.15999778 0.15999994 0.1599996
 0.15999995 0.15999999 0.15999772 0.15999915]"
138,138,"[0.1599999  0.15999986 0.15999998 0.15999784 0.15999994 0.15999962
 0.15999995 0.15999999 0.15999775 0.15999917]"
139,139,"[0.1599999  0.15999985 0.15999998 0.15999791 0.15999994 0.15999963
 0.15999995 0.15999999 0.15999779 0.15999919]"
140,140,"[0.1599999  0.15999985 0.15999998 0.15999797 0.15999994 0.15999964
 0.15999996 0.15999999 0.15999782 0.1599992 ]"
141,141,"[0.1599999  0.15999984 0.15999998 0.15999804 0.15999994 0.15999965
 0.15999996 0.15999999 0.15999786 0.15999922]"
142,142,"[0.1599999  0.15999984 0.15999998 0.15999811 0.15999995 0.15999966
 0.15999996 0.15999999 0.1599979  0.15999923]"
143,143,"[0.15999991 0.15999983 0.15999998 0.15999818 0.15999995 0.15999967
 0.15999996 0.15999999 0.15999794 0.15999925]"
144,144,"[0.15999991 0.15999983 0.15999998 0.15999826 0.15999995 0.15999968
 0.15999996 0.15999999 0.15999798 0.15999927]"
145,145,"[0.15999991 0.15999982 0.15999999 0.15999833 0.15999995 0.1599997
 0.15999996 0.15999999 0.15999802 0.15999928]"
146,146,"[0.15999991 0.15999982 0.15999999 0.1599984  0.15999995 0.15999971
 0.15999997 0.15999999 0.15999806 0.1599993 ]"
147,147,"[0.15999991 0.15999981 0.15999999 0.15999847 0.15999995 0.15999972
 0.15999997 0.15999999 0.15999811 0.15999931]"
148,148,"[0.15999991 0.15999981 0.15999999 0.15999854 0.15999995 0.15999973
 0.15999997 0.15999999 0.15999815 0.15999933]"
149,149,"[0.15999992 0.1599998  0.15999999 0.15999861 0.15999996 0.15999974
 0.15999997 0.15999999 0.1599982  0.15999934]"
150,150,"[0.15999992 0.1599998  0.15999999 0.15999868 0.15999996 0.15999975
 0.15999997 0.15999998 0.15999825 0.15999935]"
151,151,"[0.15999992 0.15999979 0.15999999 0.15999874 0.15999996 0.15999976
 0.15999997 0.15999998 0.15999829 0.15999937]"
152,152,"[0.15999998 0.15999979 0.15999999 0.15999881 0.15999998 0.15999977
 0.15999998 0.15999998 0.159998   0.15999938]"
153,153,"[0.15999999 0.15999978 0.15999999 0.15999887 0.15999948 0.15999978
 0.15999998 0.15999988 0.15999734 0.15999939]"
154,154,"[0.15999999 0.15999978 0.15999999 0.15999893 0.15999949 0.15999979
 0.15999998 0.15999987 0.15999734 0.15999941]"
155,155,"[0.15999999 0.15999977 0.15999999 0.15999899 0.1599995  0.1599998
 0.15999998 0.15999986 0.15999735 0.15999942]"
156,156,"[0.15999999 0.15999977 0.15999999 0.15999905 0.15999951 0.15999981
 0.15999998 0.15999986 0.15999736 0.15999943]"
157,157,"[0.15999999 0.15999977 0.15999999 0.1599991  0.15999952 0.15999982
 0.15999998 0.15999985 0.15999737 0.15999945]"
