,iteration,speed
72,72,"[0.15999976 0.15999846 0.15999975 0.15999913 0.15999921 0.15999912
 0.15999962 0.15999858 0.16       0.15999758]"
73,73,"[0.15999978 0.15999852 0.1599997  0.15999915 0.15999915 0.15999919
 0.15999963 0.15999854 0.16       0.15999755]"
74,74,"[0.15999979 0.15999858 0.15999965 0.15999917 0.15999909 0.15999925
 0.15999963 0.1599985  0.16       0.15999752]"
75,75,"[0.1599998  0.15999864 0.15999959 0.15999919 0.15999903 0.15999931
 0.15999964 0.15999847 0.16       0.15999749]"
76,76,"[0.15999981 0.15999869 0.15999953 0.1599992  0.15999897 0.15999937
 0.15999964 0.15999844 0.16       0.15999746]"
77,77,"[0.15999982 0.15999875 0.15999946 0.15999921 0.15999891 0.15999942
 0.15999965 0.15999842 0.16       0.15999744]"
78,78,"[0.15999983 0.15999881 0.15999939 0.15999922 0.15999885 0.15999947
 0.15999966 0.1599984  0.15999999 0.15999741]"
79,79,"[0.15999984 0.15999886 0.15999931 0.15999923 0.15999879 0.15999951
 0.15999967 0.15999838 0.15999999 0.15999739]"
80,80,"[0.15999984 0.15999892 0.15999924 0.15999924 0.15999873 0.15999955
 0.15999967 0.15999837 0.15999999 0.15999738]"
81,81,"[0.15999985 0.15999897 0.15999915 0.15999925 0.15999875 0.15999959
 0.15999968 0.16000587 0.15999999 0.15999736]"
82,82,"[0.15999986 0.15999902 0.15999907 0.15999925 0.15999869 0.15999962
 0.15999969 0.15999966 0.15999999 0.15999735]"
83,83,"[0.15999986 0.15999907 0.15999898 0.15999926 0.15999864 0.15999965
 0.1599997  0.15999967 0.15999998 0.15999734]"
84,84,"[0.15999987 0.15999912 0.15999889 0.15999926 0.15999859 0.15999968
 0.1599997  0.15999968 0.15999998 0.15999734]"
85,85,"[0.15999988 0.15999917 0.1599988  0.15999927 0.15999854 0.15999971
 0.15999971 0.15999969 0.15999998 0.15999733]"
86,86,"[0.15999988 0.15999921 0.1599987  0.15999928 0.15999849 0.15999973
 0.15999972 0.1599997  0.15999997 0.15999733]"
87,87,"[0.15999989 0.15999926 0.15999861 0.15999928 0.15999843 0.15999976
 0.15999973 0.15999971 0.15999997 0.15999734]"
88,88,"[0.15999989 0.1599993  0.15999852 0.15999929 0.15999838 0.15999978
 0.15999974 0.15999972 0.15999996 0.15999734]"
89,89,"[0.1599999  0.15999934 0.15999843 0.15999929 0.15999833 0.1599998
 0.15999974 0.15999973 0.15999996 0.15999735]"
90,90,"[0.1599999  0.15999938 0.15999834 0.1599993  0.15999827 0.15999982
 0.15999975 0.15999974 0.15999995 0.15999736]"
91,91,"[0.1599999  0.15999942 0.15999825 0.15999931 0.15999822 0.15999983
 0.15999976 0.15999976 0.15999994 0.15999738]"
92,92,"[0.15999991 0.15999945 0.15999816 0.15999931 0.15999817 0.15999985
 0.15999977 0.15999977 0.15999993 0.1599974 ]"
93,93,"[0.15999991 0.15999949 0.15999808 0.15999932 0.15999811 0.15999986
 0.15999977 0.15999978 0.15999992 0.15999742]"
94,94,"[0.15999991 0.15999952 0.15999799 0.15999933 0.15999806 0.15999987
 0.15999978 0.15999979 0.15999991 0.15999744]"
95,95,"[0.15999992 0.15999955 0.15999792 0.15999934 0.15999801 0.15999988
 0.15999979 0.1599998  0.1599999  0.15999747]"
96,96,"[0.15999992 0.15999958 0.15999784 0.15999934 0.15999795 0.15999989
 0.15999979 0.15999981 0.15999989 0.1599975 ]"
97,97,"[0.15999992 0.15999961 0.15999777 0.15999935 0.1599979  0.1599999
 0.1599998  0.15999982 0.15999988 0.15999753]"
98,98,"[0.15999993 0.15999964 0.15999771 0.15999936 0.15999785 0.15999991
 0.15999981 0.15999982 0.15999986 0.15999756]"
99,99,"[0.15999993 0.15999966 0.15999765 0.15999937 0.1599978  0.15999992
 0.15999982 0.15999983 0.15999985 0.1599976 ]"
100,100,"[0.15999993 0.16000116 0.15999759 0.15999938 0.16000101 0.15999993
 0.15999982 0.16007576 0.15999983 0.15999789]"
101,101,"[0.15999996 0.15999958 0.15999754 0.15999939 0.15999817 0.15999994
 0.15999994 0.15999869 0.15999981 0.15999748]"
102,102,"[0.16000737 0.15999961 0.1599975  0.16000104 0.15999818 0.15999994
 0.15999997 0.15999875 0.15999979 0.15999751]"
103,103,"[0.15999999 0.15999964 0.15999746 0.15999921 0.15999818 0.15999995
 0.15999997 0.1599988  0.15999977 0.15999754]"
104,104,"[0.15999999 0.15999966 0.15999743 0.15999922 0.15999819 0.15999995
 0.15999997 0.15999885 0.15999975 0.15999757]"
105,105,"[0.15999999 0.15999969 0.1599974  0.15999923 0.1599982  0.15999996
 0.15999997 0.15999891 0.15999972 0.15999761]"
106,106,"[0.15999999 0.15999971 0.15999737 0.15999924 0.15999821 0.15999996
 0.15999997 0.15999895 0.1599997  0.15999764]"
107,107,"[0.15999999 0.15999973 0.15999736 0.15999925 0.15999823 0.15999997
 0.15999998 0.159999   0.15999967 0.15999768]"
108,108,"[0.16       0.15999975 0.15999734 0.15999926 0.15999824 0.15999997
 0.15999998 0.15999905 0.15999964 0.15999772]"
109,109,"[0.16       0.15999977 0.15999734 0.15999927 0.15999826 0.15999999
 0.15999998 0.15999909 0.15999961 0.15999767]"
110,110,"[0.16       0.15999975 0.15999733 0.15999928 0.15999828 0.15999999
 0.15999997 0.15999913 0.15999958 0.15999758]"
111,111,"[0.16       0.1599997  0.15999734 0.15999929 0.1599983  0.16
 0.15999995 0.15999918 0.15999955 0.15999761]"
112,112,"[0.16       0.15999972 0.15999734 0.1599993  0.15999832 0.16
 0.15999995 0.15999921 0.15999952 0.15999764]"
113,113,"[0.16       0.15999974 0.15999736 0.15999931 0.15999835 0.16
 0.15999995 0.15999925 0.15999948 0.15999768]"
114,114,"[0.16       0.15999976 0.15999738 0.15999933 0.15999837 0.16
 0.15999995 0.15999929 0.15999944 0.15999771]"
115,115,"[0.16       0.15999978 0.1599974  0.15999934 0.1599984  0.16
 0.15999995 0.15999932 0.15999941 0.15999775]"
116,116,"[0.16       0.15999979 0.15999743 0.15999935 0.15999843 0.16
 0.15999995 0.15999935 0.15999937 0.15999779]"
117,117,"[0.16       0.15999981 0.15999746 0.15999936 0.15999846 0.16
 0.15999996 0.15999938 0.15999933 0.15999783]"
118,118,"[0.16       0.15999982 0.1599975  0.15999937 0.15999849 0.16
 0.15999996 0.15999941 0.15999929 0.15999787]"
119,119,"[0.16       0.15999984 0.15999754 0.15999938 0.15999852 0.16000002
 0.15999994 0.15999944 0.15999925 0.1599979 ]"
