,iteration,speed
64,64,"[0.15999889 0.15999969 0.15999995 0.15999995 0.15999943 0.15999779
 0.1599978  0.1599993  0.15999996 0.15999999]"
65,65,"[0.15999891 0.15999969 0.15999995 0.15999995 0.15999947 0.1599978
 0.15999761 0.15999933 0.15999996 0.16000014]"
66,66,"[0.15999892 0.1599997  0.15999995 0.15999995 0.1599995  0.15999782
 0.15999736 0.15999935 0.15999996 0.15999984]"
67,67,"[0.15999894 0.1599997  0.15999995 0.15999995 0.15999953 0.15999783
 0.15999735 0.15999937 0.15999996 0.15999984]"
68,68,"[0.15999895 0.15999971 0.15999995 0.15999995 0.15999956 0.15999784
 0.15999734 0.1599994  0.15999996 0.15999984]"
69,69,"[0.15999896 0.15999971 0.15999995 0.15999995 0.15999959 0.15999785
 0.15999734 0.15999942 0.15999996 0.15999985]"
70,70,"[0.15999897 0.15999972 0.15999995 0.15999995 0.15999962 0.15999786
 0.15999734 0.15999944 0.15999996 0.15999985]"
71,71,"[0.15999899 0.15999972 0.15999996 0.15999996 0.15999964 0.15999788
 0.15999733 0.15999946 0.15999995 0.15999985]"
72,72,"[0.159999   0.15999973 0.15999996 0.15999996 0.15999967 0.15999789
 0.15999733 0.15999948 0.15999995 0.15999985]"
73,73,"[0.15999901 0.15999973 0.15999996 0.15999996 0.15999969 0.1599979
 0.15999733 0.1599995  0.15999995 0.15999985]"
74,74,"[0.15999902 0.15999974 0.15999996 0.15999996 0.15999971 0.15999792
 0.15999734 0.15999952 0.15999995 0.15999985]"
75,75,"[0.15999903 0.15999974 0.15999996 0.15999996 0.15999973 0.15999793
 0.15999734 0.15999954 0.15999995 0.15999985]"
76,76,"[0.15999904 0.15999975 0.15999996 0.15999996 0.15999975 0.15999794
 0.15999735 0.15999956 0.15999995 0.15999985]"
77,77,"[0.15999905 0.15999975 0.15999996 0.15999996 0.15999977 0.15999796
 0.15999735 0.15999958 0.15999995 0.15999985]"
78,78,"[0.15999906 0.15999975 0.15999996 0.15999996 0.15999979 0.15999797
 0.15999736 0.15999959 0.15999995 0.15999986]"
