,iteration,speed
97,97,"[0.15999989 0.15999997 0.15999718 0.15999924 0.15999994 0.15999991
 0.15999893 0.15999584 0.15999948 0.1599919 ]"
98,98,"[0.1599999  0.15999998 0.15999735 0.1599991  0.15999994 0.1599999
 0.15999891 0.15999544 0.15999951 0.15999171]"
99,99,"[0.1599999  0.15999998 0.15999751 0.15999894 0.15999994 0.15999989
 0.15999889 0.15999497 0.15999953 0.15999153]"
100,100,"[0.1599999  0.15999998 0.15999766 0.15999875 0.15999994 0.15999987
 0.15999887 0.15999451 0.15999956 0.15999138]"
101,101,"[0.16000012 0.15999998 0.15999835 0.15999855 0.15999995 0.15999986
 0.15999886 0.15999414 0.15999958 0.15999124]"
102,102,"[0.16000395 0.15999998 0.15999857 0.15999832 0.15999995 0.15999995
 0.15999884 0.1599969  0.15999961 0.15999113]"
103,103,"[0.16000099 0.15999999 0.1599982  0.15999805 0.15999995 0.15999993
 0.15999882 0.15999692 0.15999963 0.15999103]"
104,104,"[0.15999993 0.15999999 0.15999821 0.15999776 0.15999995 0.15999992
 0.15999881 0.15999695 0.15999965 0.15999094]"
105,105,"[0.15999993 0.15999999 0.15999834 0.15999743 0.15999995 0.1599999
 0.15999879 0.15999697 0.15999967 0.15999089]"
106,106,"[0.15999993 0.15999999 0.15999846 0.15999708 0.15999996 0.15999988
 0.15999878 0.159997   0.15999969 0.15999087]"
107,107,"[0.15999996 0.16000009 0.15999857 0.1599967  0.15999996 0.15999986
 0.15999877 0.15999704 0.15999971 0.15999087]"
108,108,"[0.15999998 0.15999952 0.15999868 0.15999628 0.15999996 0.15999983
 0.15999875 0.15999708 0.15999973 0.1599909 ]"
109,109,"[0.15999998 0.15999956 0.15999879 0.15999582 0.15999996 0.1599998
 0.15999874 0.15999712 0.15999975 0.15999095]"
110,110,"[0.15999998 0.16000782 0.15999889 0.15999534 0.15999997 0.15999977
 0.15999965 0.15999716 0.15999976 0.15999102]"
111,111,"[0.15999998 0.15999999 0.15999897 0.15999485 0.15999997 0.15999973
 0.15999913 0.15999721 0.15999978 0.15999113]"
112,112,"[0.15999998 0.15999999 0.15999906 0.15999433 0.15999997 0.15999993
 0.15999921 0.15999726 0.15999979 0.15999127]"
113,113,"[0.15999998 0.15999999 0.15999913 0.15999379 0.15999997 0.15999934
 0.15999877 0.15999731 0.1599998  0.15999143]"
114,114,"[0.15999998 0.15999999 0.16000512 0.15999325 0.15999997 0.15999924
 0.15999877 0.15999736 0.15999982 0.15999734]"
115,115,"[0.15999998 0.15999999 0.15999596 0.15999272 0.15999997 0.15999912
 0.15999877 0.15999741 0.15999983 0.15999875]"
116,116,"[0.15999998 0.16       0.15999611 0.1599922  0.15999998 0.159999
 0.15999877 0.15999746 0.15999984 0.1599988 ]"
117,117,"[0.15999998 0.16       0.15999626 0.1599917  0.15999998 0.15999886
 0.15999876 0.15999751 0.15999986 0.15999886]"
118,118,"[0.15999998 0.16       0.15999641 0.15999123 0.16004631 0.15999871
 0.15999951 0.15999756 0.15999987 0.15999891]"
119,119,"[0.15999998 0.16       0.15999655 0.15999078 0.15999686 0.15999856
 0.15999909 0.15999762 0.15999988 0.15999895]"
120,120,"[0.15999998 0.16       0.15999669 0.15998975 0.15999679 0.15999841
 0.15999969 0.15999905 0.16001208 0.15999899]"
121,121,"[0.15999998 0.16       0.15999683 0.15998907 0.15999672 0.15999825
 0.15999934 0.15999841 0.15999962 0.15999903]"
122,122,"[0.15999998 0.16       0.15999696 0.15998871 0.15999664 0.15999809
 0.15999932 0.15999848 0.15999964 0.15999907]"
123,123,"[0.16000441 0.16       0.16000004 0.15998832 0.15999657 0.15999792
 0.1599993  0.16000392 0.15999966 0.15999911]"
124,124,"[0.15999982 0.16       0.15999662 0.15998775 0.15999651 0.15999775
 0.15999929 0.15999961 0.15999968 0.15999915]"
125,125,"[0.15999982 0.16       0.15999673 0.15998736 0.15999645 0.15999758
 0.15999927 0.15999963 0.1599997  0.15999918]"
126,126,"[0.15999983 0.16       0.15999685 0.15998735 0.15999639 0.15999741
 0.15999925 0.15999965 0.15999967 0.15999922]"
127,127,"[0.15999984 0.15999999 0.15999696 0.15998735 0.15999634 0.15999724
 0.15999923 0.15999967 0.1599976  0.16000037]"
128,128,"[0.15999984 0.15999999 0.15999206 0.15998701 0.15999988 0.15999708
 0.15999921 0.15999969 0.15999741 0.15999999]"
129,129,"[0.15999985 0.15999999 0.15999222 0.15998669 0.15999989 0.15999691
 0.15999919 0.15999971 0.15999754 0.15999999]"
130,130,"[0.15999985 0.15999999 0.15999239 0.15998643 0.15999989 0.15999675
 0.15999917 0.15999972 0.15999768 0.15999999]"
131,131,"[0.15999985 0.15999999 0.15999258 0.15998622 0.15999989 0.15999659
 0.15999915 0.15999974 0.15999781 0.15999999]"
132,132,"[0.15999986 0.15999998 0.15999279 0.15998606 0.1599999  0.15999644
 0.15999913 0.15999975 0.15999793 0.15999999]"
